prof;pressao
-1306.0;172.1
-1306.1;172.0
-1309.5;172.3
-1309.7;172.3
-1309.0;172.1
-1312.0;172.4
-1315.5;172.8
-1319.0;173.2
-1322.5;173.7
-1322.2;173.5
-1322.0;173.5
-1325.3;173.8
-1325.5;173.8
-1327.2;173.9
-1326.5;173.8
-1327.0;173.8
-1332.5;174.4
-1339.0;175.2
-1344.0;175.7
-1348.5;176.2
-1353.5;176.8
-1359.2;177.4
-1359.2;177.4
-1359.5;177.3
-1359.7;177.3
-1362.0;177.5
-1375.0;179.1
-1378.0;179.3
-1380.5;179.6
-1383.5;179.9
-1386.2;180.1
-1394.3;181.1
-1406.2;182.6
-1420.0;184.3
-1450.0;188.1
-1514.5;196.1
-465.0;62.4
-465.5;62.5
-475.5;63.7
-495.0;66.2
-495.3;66.2
-525.0;70.0
-668.3;88.5
-668.5;88.5
-724.5;95.7
-777.2;102.4
-921.0;120.7
-982.8;128.5
-1070.2;139.6
-1091.0;142.2
-1146.0;148.4
